id,name,produzent,nation,lokal1,lokal2,lokal3,lokal4,sorten1,sorten2,sorten3,sorten4,sorten5,sorten6,sorten7,sorten8,sorten9,sorten10,sorten11,sorten12,typ,verwendung,alc,temperatur,suesse,saeurengehalt ,koerper,gerbstoff,preis,jahr,ml
150191,Finest Chablis,Tesco Finest,France,Bourgogne,Chablis,,,Chardonnay,,,,,,,,,,,,White,Table,12.5,13,1,5,3,1,24.94003389,2011,750
150192,Finest Meursault,Tesco Finest,France,Bourgogne,Cote de Beaune,Meursault,,Chardonnay,,,,,,,,,,,,White,Table,13,12,1,4,3,1,57.94890227,2008,750
150193,Finest Nuits Saint Georges,Tesco Finest,France,Bourgogne,Cote de Nuits,NuitsStGeorges,,Pinot Noir,,,,,,,,,,,,Red,Table,13,16,1,4,3,2,57.94890227,2007,750
150194,Finest Sancerre,Tesco Finest,France,Loire,Central Loire,Sancerre,,Sauvignon blanc,,,,,,,,,,,,White,Table,12.5,11,1,4,3,1,35.94299002,2011,750
150195,Finest Pouilly Fume,Tesco Finest,France,Loire,Central Loire,PouillyFume,,Sauvignon blanc,,,,,,,,,,,,White,Table,12.5,12,1,4,3,1,35.94299002,2010,750
150196,Finest Sauternes,Tesco Finest,France,Bordeaux,Sauternes,,,Semillon,Sauvignon blanc,Muscadet,,,,,,,,,,White,Dessert,13.5,10.5,5,3,4,1,33.00886838,2009,375
150198,Finest Gavi,Tesco Finest,Italy,Piemonte,Gavi,,,Cortese,,,,,,,,,,,,White,Table,12.5,11,1,4,3,1,18.33826021,2012,750
150199,Finest Pinot Grigio,Tesco Finest,Italy,Pinot Grigio,,,,,,,,,,,,,,,,White,Table,12.5,13,1,3,3,1,16.8711994,2011,750
150200,Finest Barbera d'Asti,Tesco Finest,Italy,Piemonte,Asti,,,Barbera,,,,,,,,,,,,Red,Table,13.5,16,1,4,2,2,16.8711994,2010,750
150201,Finest Bisol Prosecco,Tesco Finest,Italy,Veneto,,,,Prosecco,,,,,,,,,,,,Sparkling,"Appetizer, Table",13.5,9,1,3,3,1,24.94003389,2012,750
